HUGO_SYMBOL	Entrez_Gene_Id	Bill_Tumor
ADAM23	00000	0.53
ADAM28	00000	1.93
ADAM29	00000	0.01
ADAM32	00000	0.17
ADAM33	00000	2.03
ADAM7	00000	0.02
ADAM8	00000	2.36
ADAM9	00000	22.36
ADAMDEC1	00000	0.06
ADAMTS1	00000	18.54
ADAMTS10	00000	9.69
ADAMTS12	00000	1.14
ADAMTS13	00000	2.18
ADAMTS14	00000	0.09
ADAMTS15	00000	8.29
ADAMTS16	00000	2.34
ADAMTS17	00000	0.9
ADAMTS18	00000	0.11
ADAMTS19	00000	0.14
ADAMTS2	00000	2.78
ADAMTS20	00000	0
ADAMTS3	00000	0.46
ADAMTS4	00000	1.6
ADAMTS5	00000	1.92
ADAMTS6	00000	1.01
ADAMTS7	00000	1.1
ADAMTS8	00000	0.84
ADAMTS9	00000	6.39
ADAMTSL1	00000	2.48
ADAMTSL2	00000	15.89
ADAMTSL3	00000	2.66
ADAMTSL4	00000	2.45
ADAMTSL4-AS1	00000	0.42
ADAMTSL5	00000	1.14
ADAP1	00000	20.66
ADAP2	00000	3.46
ADAR	00000	41.43
ADARB1	00000	6.64
ADARB2	00000	0.41
ADAT1	00000	15.86
ADAT2	00000	1.92
ADAT3	00000	3.05
ADC	00000	3.84
ADCK1	00000	3.36
ADCK2	00000	8.24
ADCK3	00000	27.17
ADCK4	00000	15.84
ADCK5	00000	4.28
ADCY1	00000	1.27
ADCY10	00000	0.08
ADCY2	00000	0.16
ADCY3	00000	18.34
ADCY4	00000	14.44
ADCY5	00000	13.19
ADCY6	00000	22.57
ADCY7	00000	1.11
ADCY8	00000	0.11
ADCY9	00000	10.07
ADCYAP1	00000	0.65
ADCYAP1R1	00000	0.03
ADD1	00000	109.53
ADD2	00000	0.1
ADD3	00000	48.36
ADGB	00000	0.06
ADH1A	00000	0.15
ADH1B	00000	89.16
ADH4	00000	0.78
ADH5	00000	82.54
ADH6	00000	9.69
ADH7	00000	0
ADHFE1	00000	11.97
ADI1	00000	84.97
ADIG	00000	0.04
ADIPOQ	00000	0.38
ADIPOR1	00000	51.03
ADIPOR2	00000	20.27
ADIRF	00000	139.61
ADK	00000	15.94
ADM	00000	10.96
ADM2	00000	4.46
ADM5	00000	0.59
ADNP	00000	15.83
ADNP2	00000	3.88
ADO	00000	8.06
ADORA1	00000	4.12
ADORA2A	00000	6.57
ADORA2B	00000	0.99
ADORA3	00000	0.78
ADPGK	00000	16.33
ADPRH	00000	5.02
ADPRHL1	00000	0.94
ADPRHL2	00000	10.74
ADPRM	00000	5.05
ADRA1A	00000	1.06
ADRA1B	00000	2.94
ADRA1D	00000	0.41
ADRA2A	00000	7.57
ADRA2B	00000	4.15
ADRA2C	00000	24.48
ADRB1	00000	1.42
ADRB2	00000	1.01
ADRB3	00000	0.13
ADRBK1	00000	26.44
ADRBK2	00000	1.03
ADRM1	00000	43.14
ADSL	00000	14.33
ADSS	00000	17.59
ADSSL1	00000	9.96
ADTRP	00000	6.17
AEBP1	00000	123.62
AEBP2	00000	11.51
AEN	00000	2.94
AES	00000	362.32
AFAP1	00000	4.69
AFAP1L1	00000	3.26
AFAP1L2	00000	31.68
AFF1	00000	25.98
AFF2	00000	0.21
AFF3	00000	2.07
AFF4	00000	14.67
AFG3L2	00000	27.38
AFM	00000	14.13
AFMID	00000	68.78
AFP	00000	4.54
AFTPH	00000	21.4
AGA	00000	9.76
AGAP1	00000	7.44
AGAP10	00000	4.15
AGAP2	00000	0.52
AGAP2-AS1	00000	2.45
AGAP3	00000	22
AGAP4	00000	3.37
AGAP5	00000	2.41
AGAP6	00000	4.24
AGAP7	00000	0.28
AGAP8	00000	2.77
AGAP9	00000	3.82
AGBL1	00000	0
AGBL2	00000	1.85
AGBL3	00000	2.64
AGBL4	00000	0.94
AGBL5	00000	17.84
AGER	00000	4.94
AGFG1	00000	13.85
AGFG2	00000	36.74
AGGF1	00000	7.9
AGK	00000	8.73
AGL	00000	6.34
AGMAT	00000	47.42
AGMO	00000	1.25
AGO1	00000	4.41
AGO2	00000	3.13
